"Timestamp","rainfall_in_mm","rain_station"
"Mar 2016",18.6,"Comiston"
"Apr 2016",86.2,"Comiston"
"May 2016",46,"Comiston"
"Jun 2016",102.6,"Comiston"
"Jul 2016",57.6,"Comiston"
"Aug 2016",41.6,"Comiston"
"Sep 2016",36.4,"Comiston"
"Oct 2016",36.6,"Comiston"
"Nov 2016",48.6,"Comiston"
"Dec 2016",65,"Comiston"
"Jan 2017",26.4,"Comiston"
"Feb 2017",71.2,"Comiston"
"Mar 2017",61.6,"Comiston"
"Apr 2017",4.8,"Comiston"
"May 2017",26.4,"Comiston"
"Jun 2017",211,"Comiston"
"Jul 2017",73.6,"Comiston"
"Aug 2017",78.2,"Comiston"
"Sep 2017",69.4,"Comiston"
"Oct 2017",59.6,"Comiston"
"Nov 2017",45.2,"Comiston"
"Dec 2017",60.2,"Comiston"
"Jan 2018",91,"Comiston"
"Feb 2018",35,"Comiston"
"Mar 2018",90,"Comiston"
"Apr 2018",102,"Comiston"
"May 2018",18.2,"Comiston"
"Jun 2018",56.4,"Comiston"
"Jul 2018",38,"Comiston"
"Aug 2018",64.8,"Comiston"
"Sep 2018",55.8,"Comiston"
"Oct 2018",32,"Comiston"
"Nov 2018",66.6,"Comiston"
"Dec 2018",34.4,"Comiston"
"Jan 2019",11.2,"Comiston"
"Feb 2019",23.4,"Comiston"
"Mar 2019",91.2,"Comiston"
"Apr 2019",48,"Comiston"
"May 2019",91.4,"Comiston"
"Jun 2019",112.8,"Comiston"
"Jul 2019",106.2,"Comiston"
"Aug 2019",127.8,"Comiston"
"Sep 2019",84.2,"Comiston"
"Oct 2019",117.4,"Comiston"
"Nov 2019",95,"Comiston"
"Dec 2019",59.8,"Comiston"
"Jan 2020",81,"Comiston"
"Feb 2020",195.6,"Comiston"
"Mar 2020",59.2,"Comiston"
"Apr 2020",6.6,"Comiston"
"May 2020",31.6,"Comiston"
"Jun 2020",71.6,"Comiston"
"Jul 2020",85.6,"Comiston"
"Aug 2020",181.2,"Comiston"
"Sep 2020",45.4,"Comiston"
"Oct 2020",120.6,"Comiston"
"Nov 2020",57,"Comiston"
"Dec 2020",131.2,"Comiston"
"Jan 2021",124.4,"Comiston"
"Feb 2021",66.8,"Comiston"
